DateTime,Players
28/12/2013,91298
29/12/2013,91594
30/12/2013,96673
31/12/2013,85116
01/01/2014,102084
02/01/2014,96254
03/01/2014,101904
04/01/2014,100158
05/01/2014,100114
06/01/2014,100114
07/01/2014,95319
08/01/2014,93459
09/01/2014,93029
10/01/2014,96219
11/01/2014,102464
12/01/2014,98730
13/01/2014,91440
14/01/2014,88658
15/01/2014,92402
16/01/2014,89443
17/01/2014,90641
18/01/2014,92730
19/01/2014,89022
20/01/2014,88214
21/01/2014,89373
22/01/2014,87207
23/01/2014,91336
24/01/2014,96517
25/01/2014,102090
26/01/2014,98262
27/01/2014,28162
28/01/2014,95063
29/01/2014,93940
30/01/2014,91432
31/01/2014,95869
01/02/2014,119764
02/02/2014,102040
03/02/2014,94627
04/02/2014,94403
05/02/2014,96983
06/02/2014,95922
07/02/2014,99287
08/02/2014,108249
09/02/2014,102815
10/02/2014,96078
11/02/2014,92860
12/02/2014,105010
13/02/2014,103852
14/02/2014,102052
15/02/2014,109545
16/02/2014,105540
17/02/2014,102246
18/02/2014,92269
19/02/2014,87397
20/02/2014,107426
21/02/2014,111669
22/02/2014,119772
23/02/2014,113587
24/02/2014,103608
25/02/2014,100178
26/02/2014,96654
27/02/2014,96348
28/02/2014,103286
01/03/2014,164495
02/03/2014,105065
03/03/2014,100660
04/03/2014,97766
05/03/2014,95877
06/03/2014,100663
07/03/2014,107512
08/03/2014,111893
09/03/2014,108434
10/03/2014,100102
11/03/2014,99558
12/03/2014,104756
13/03/2014,121846
14/03/2014,150972
15/03/2014,164781
16/03/2014,151972
17/03/2014,135984
18/03/2014,133335
19/03/2014,130125
20/03/2014,119803
21/03/2014,132603
22/03/2014,140599
23/03/2014,127843
24/03/2014,128733
25/03/2014,126360
26/03/2014,125248
27/03/2014,121998
28/03/2014,128117
29/03/2014,132269
30/03/2014,127946
31/03/2014,120396
01/04/2014,142526
02/04/2014,125724
03/04/2014,130308
04/04/2014,134282
05/04/2014,139515
06/04/2014,132046
07/04/2014,129869
08/04/2014,130837
09/04/2014,133965
10/04/2014,135327
11/04/2014,137453
12/04/2014,143298
13/04/2014,137875
14/04/2014,135060
15/04/2014,131723
16/04/2014,132748
17/04/2014,132584
18/04/2014,130678
19/04/2014,133582
20/04/2014,141475
21/04/2014,134276
22/04/2014,129081
23/04/2014,131075
24/04/2014,129826
25/04/2014,133163
26/04/2014,143124
27/04/2014,131669
28/04/2014,125681
29/04/2014,119579
30/04/2014,134364
01/05/2014,170137
02/05/2014,161779
03/05/2014,173629
04/05/2014,154914
05/05/2014,152969
06/05/2014,147642
07/05/2014,152119
08/05/2014,150519
09/05/2014,152722
10/05/2014,160519
11/05/2014,151530
12/05/2014,144348
13/05/2014,137862
14/05/2014,115401
15/05/2014,139932
16/05/2014,139138
17/05/2014,150584
18/05/2014,140332
19/05/2014,137078
20/05/2014,134229
21/05/2014,133107
22/05/2014,135747
23/05/2014,135077
24/05/2014,146158
25/05/2014,149526
26/05/2014,134705
